CanonicalSMILES,CID,ROMol,tanimoto_maccs,dice_maccs,tanimoto_morgan,dice_morgan
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.Br,71617850,<rdkit.Chem.rdchem.Mol object at 0x00000192368EF6A0>,0.971830985915493,0.9857142857142858,0.9833333333333333,0.9915966386554622
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.C(=CC(=O)O)C(=O)O,46940824,<rdkit.Chem.rdchem.Mol object at 0x00000192368EF700>,0.92,0.9583333333333334,0.9076923076923077,0.9516129032258065
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.C(=O)(C(=O)O)O,46940825,<rdkit.Chem.rdchem.Mol object at 0x00000192368EF760>,0.9078947368421053,0.9517241379310345,0.9516129032258065,0.9752066115702479
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.C(C(=O)O)(Cl)Cl,46940826,<rdkit.Chem.rdchem.Mol object at 0x00000192368EF7C0>,0.9324324324324325,0.965034965034965,0.9076923076923077,0.9516129032258065
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.C(F)(F)(F)S(=O)(=O)O,121364371,<rdkit.Chem.rdchem.Mol object at 0x00000192368EF8E0>,0.9078947368421053,0.9517241379310345,0.9076923076923077,0.9516129032258065
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,159966218,<rdkit.Chem.rdchem.Mol object at 0x00000192368EFAC0>,0.9452054794520548,0.971830985915493,1.0,1.0
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,144729571,<rdkit.Chem.rdchem.Mol object at 0x00000192368EFB80>,0.9452054794520548,0.971830985915493,0.9516129032258065,0.9752066115702479
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.Cl,71617851,<rdkit.Chem.rdchem.Mol object at 0x00000192368EFD60>,0.9857142857142858,0.9928057553956835,0.9833333333333333,0.9915966386554622
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.O,140956867,<rdkit.Chem.rdchem.Mol object at 0x00000192368EFDC0>,0.9583333333333334,0.9787234042553191,0.9833333333333333,0.9915966386554622
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F.OS(=O)(=O)O,71617775,<rdkit.Chem.rdchem.Mol object at 0x00000192368EFE20>,0.9078947368421053,0.9517241379310345,0.9672131147540983,0.9833333333333333
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)I,144883240,<rdkit.Chem.rdchem.Mol object at 0x00000192368EFE80>,0.9857142857142858,0.9928057553956835,0.8461538461538461,0.9166666666666666
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)F)Cl,66646908,<rdkit.Chem.rdchem.Mol object at 0x00000192368EFEE0>,1.0,1.0,0.803030303030303,0.8907563025210085
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)F)F,58086457,<rdkit.Chem.rdchem.Mol object at 0x00000192368EFF40>,0.9855072463768116,0.9927007299270073,0.8870967741935484,0.9401709401709402
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)N)F,135147061,<rdkit.Chem.rdchem.Mol object at 0x0000019236760100>,0.9714285714285714,0.9855072463768116,0.859375,0.9243697478991597
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)NC(=O)C)F,49779384,<rdkit.Chem.rdchem.Mol object at 0x0000019236760460>,0.9315068493150684,0.9645390070921985,0.8208955223880597,0.9016393442622951
CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)NC(=O)CCC(=O)O)F,135147053,<rdkit.Chem.rdchem.Mol object at 0x0000019236760520>,0.9066666666666666,0.951048951048951,0.7638888888888888,0.8661417322834646
