smiles,ChEMBLID,IC50,units
OCC(O)Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,CHEMBL498317,0.87,nM
CN1C2CCC1CN(c1ccc(-c3ccnc4c(-c5cccc(O)c5)c(-c5ccncc5)nn34)cc1)C2,CHEMBL1080476,0.9,nM
CSc1cc(Oc2ccnc3[nH]c(=O)[nH]c23)ccc1NC(=O)Nc1cccc(C(F)(F)F)c1,CHEMBL496009,1.0,nM
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CHEMBL1336,1.0,nM
CSc1cc(Oc2ccnc3[nH]c(=O)[nH]c23)ccc1NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,CHEMBL496201,1.0,nM
Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N[C@H]5CN6CCC5CC6)cc4)ccnc23)c1,CHEMBL1086871,1.0,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn13)C2,CHEMBL571129,1.0,nM
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1NC(=O)c1ccc2nccnc2c1,CHEMBL475431,1.0,nM
COc1cc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6C)cc4C)ccnc23)ccc1F,CHEMBL1076233,1.0,nM
COCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,CHEMBL496472,1.16,nM
O/N=C1\CCc2cc(-c3cn(CC4CCNCC4)nc3-c3ccncc3)ccc21,CHEMBL497670,1.2,nM
Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N[C@@H]5CN6CCC5CC6)cc4)ccnc23)c1,CHEMBL1087510,1.5,nM
Cn1cc(-c2ccc3c(c2)Cc2c[nH]nc2-3)c(-c2ccncc2)n1,CHEMBL523261,1.5,nM
COC(=O)C1CC2c3c(cnc4c(-c5ccc(Cl)c(O)c5)c(-c5ccncc5)nn34)CC1N2C,CHEMBL585148,1.6,nM
Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl,CHEMBL3215582,1.6,nM
CNc1ncc2cc(-c3cc(C(=O)Nc4cccc(C(F)(F)F)c4)ccc3C)ccc2n1,CHEMBL212964,1.7,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4ccc(Cl)c(O)c4)c(-c4ccncc4)nn13)C2,CHEMBL570431,2.0,nM
Oc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(NCC56CCN(CC5)CC6)cc4)ccnc23)c1,CHEMBL1088289,2.0,nM
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc2ccc(Br)cc2)n3C)ccn1,CHEMBL513600,2.0,nM
