CanonicalSMILES,CID
C.C1=CC(=CC=C1C=CC2=NC=CC(=C2)C3=CN(N=C3C4=CC=C(C=C4)F)CCO)F,159493145
C1=CC(=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C3=CC(=CN=C3)C4=CN(N=C4)CCO)F,56597605
C1=CC(=C(C=C1F)C2=NC=CC(=C2)C3=CC(=CN=C3)C4=CN(N=C4)CCO)F,56597606
C1=CC(=CC(=C1)C2=C(C=NN2CCO)C3=CC=NC=C3)CN,66509291
C1=CC(=CC(=C1)C2=CC=NC=C2)CNC3=CN(N=C3)CCO,109982108
C1=CC(=CC(=C1)C2=CN=CC=C2)CNC3=CN(N=C3)CCO,109982100
C1=CC(=CC(=C1)C2=NC=CC(=C2)C(F)(F)F)C3=NN(C=C3)CCO,29184046
C1=CC(=CC(=C1)C2=NN(C=C2)CC(C(F)(F)F)O)C3=CN=CC=C3,28738019
C1=CC(=CC(=C1)C2=NN(C=C2)CCCO)C3=C(C=NC=C3)F,29256757
C1=CC(=CC(=C1)C2=NN(C=C2)CCCO)C3=NC=C(C=C3)C(F)(F)F,31105021
C1=CC(=CC(=C1)C2=NN(C=C2)CCCO)C3=NC=C(C=C3)F,31017858
C1=CC(=CC(=C1)C2=NN(C=C2)CCO)C3=NC=C(C=C3)C(F)(F)F,30920660
C1=CC(=CC(=C1)C2=NN(C=C2C3=CC=NC=C3)CCO)CN,66509292
C1=CC(=CC(=C1)C2=NN(C=C2C3=CC=NC=C3)CCO)CN.Cl.Cl,71298633
C1=CC(=CC(=C1)N2C=CC=N2)CN(CCO)CC3=CN=CC=C3,109932092
C1=CC(=CC=C1C#N)C2=CN=NN2C3=CC=NC=C3,102046610
C1=CC(=CC=C1C2=C(N(N=C2)CCCO)C3=CC=NC=C3)F,141929338
C1=CC(=CC=C1C2=C(N(N=C2)CCO)C3=CC=NC=C3)F,15908491
C1=CC(=CC=C1C2=CC=NN2CCO)C3=CC=NN3CCO,46184498
C1=CC(=CC=C1C2=CN(N=C2C3=CC=NC=C3)CCO)C4=NNNN4,163741857
C1=CC(=CC=C1C2=CN(N=C2C3=CC=NC=C3)CCO)C4=N[NH2+]NN4,163741856
C1=CC(=CC=C1C2=CN(N=C2C3=CC=NC=C3)CCO)F,15428662
C1=CC(=CC=C1C2=CON=C2C3=CC=NC=C3)F,49823286
C1=CC(=CC=C1C2=NN(C=C2C3=CC(=NC=C3)F)CCO)F,22037563
C1=CC(=CC=C1C2=NN(C=C2C3=CC=NC=C3)CC(CO)O)F,67107071
C1=CC(=CC=C1C2=NN(C=C2C3=CC=NC=C3)CCO)F,22037621
C1=CC(=CC=C1C2=NN(C=C2C3=CN=NC=C3)CCO)F,140011280
C1=CC(=CC=C1C2=NNN=C2C3=CC=NC=C3)F,22725982
C1=CC(=CC=C1C=CC2=NC=CC(=C2)C3=CN(N=C3C4=CC=C(C=C4)F)CCO)F,22037669
C1=CC(=CC=C1CC2=CC(=NN2CCCO)C3=CC=NC=C3)F,67092228
C1=CC(=CC=C1CC2=CC(=NN2CCO)C3=CC=NC=C3)F,67092297
C1=CC(=CC=C1CC2=NN(C(=C2)C3=CC=NC=C3)CCO)F,67092592
C1=CC(=CC=C1CCC2=NC=CC(=C2)C3=CN(N=C3C4=CC=C(C=C4)F)CCO)F,22037535
C1=CC(=CC=C1CNS(=O)(=O)C(F)(F)F)C2=CN(N=C2C3=CC=NC=C3)CCO,117906441
C1=CC(=CN=C1)C2=NN(C=C2)CCO,22715657
C1=CC(=CN=C1)CN(CCO)CC2=CC=C(C=C2)N3C=CC=N3,112307760
C1=CC2=C(C=CN=C2)C(=C1)C3=CN(N=C3C4=CC=NC=C4)CCO,141168291
C1=CC=C(C(=C1)C2=NC=CC(=C2)C3=CC(=CN=C3)C4=CN(N=C4)CCO)F,56597607
C1=CC=C(C=C1)C2=C(N(N=C2)CCO)C3=CC=NC=C3,20594016
C1=CC=C(C=C1)C2=CC(=NN2CC(O)O)C3=NC=C(C=C3)F,123525646
C1=CC=C(C=C1)C2=CC(=NN2CCO)C3=CC=CC=N3,24860166
C1=CC=C(C=C1)C2=CC(=NN2CCO)C3=CC=CC=N3.Cl[Pd]Cl,24860165
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NN(C=C3)CCO,4561512
C1=CC=C(C=C1)C2=CN(N=C2C3=CC=NC=C3)CCO,20594015
C1=CC=C(C=C1)C2=NN(C(=C2)C3=CC=CC=N3)CCO,101780933
C1=CC=C(C=C1)C2=NN(C=C2C3=CC=NC=C3)CCO,22953656
C1=CC=C(C=C1)CCC(CN2C(=CC=N2)C3=CN=CC=C3)O,86815175
C1=CC=C(C=C1)CCCC2=C(C(=NN2CCO)C3=CC=C(C=C3)F)C4=CC=NC=C4,21992402
C1=CC=C(C=C1)CCCC2=NN(C(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F)CCO,21992368
C1=CC=C(C=C1)CCN(CCO)CC2=C(NN=C2)C3=CN=CC=C3,109933168
C1=CC=C(C=C1)CN(CCO)CC2=C(NN=C2)C3=CN=CC=C3,109925629
C1=CC=C(C=C1)CN2C=C(C=N2)CN(CCC3=CC=NC=C3)CCO,60296076
C1=CC=C(C=C1)CN2C=C(C=N2)CN(CCO)CC3=CC=CC=N3,111461970
C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=NC=C3)CNCCO,110878895
C1=CC=C(C=C1)N2C=C(C(=N2)C3=CN=CC=C3)CNCCO,17445531
C1=CC=C(C=C1)N2C=C(C=N2)CN(CCO)CC3=CN=CC=C3,112307999
C1=CC=C(C=C1)N2C=CC(=N2)CN(CCO)CC3=CN=CC=C3,112307922
C1=CC=C2C(=C1)C=C(C(=O)O2)C3=C(N=CS3)C4=CSC=C4,129860162
C1=CC=C2C(=C1)C=CN=C2C3=CC=CC(=C3)C4=NN(C=C4)CCCO,28239875
C1=CC=C2C(=C1)C=NC=C2C3=CC=CC(=C3)C4=NN(C=C4)CCO,31017319
C1=CC=C2C=C(C=CC2=C1)C3=C(N=NN3C4=CC=NC=C4)Cl,54583368
C1=CC=C2C=C(C=CC2=C1)C3=CC=NN3C4=CC=NC=C4,54585291
C1=CC=C2C=C(C=CC2=C1)C3=CN=NN3C4=CC=NC=C4,54585290
C1=CC=C2C=C(C=CC2=C1)C3=NNN=C3C4=CC=NC=C4,54584317
C1=CC=C2C=C(C=CC2=C1)N3C(=CN=N3)C4=CC=NC=C4,54587261
C1=CC=NC(=C1)C2=CC(=CC=C2)C3=NN(C=C3)CC(C(F)(F)F)O,45218970
C1=CC=NC(=C1)C2=CN(N=C2)CCO,121213929
C1=CN2C(=CC=N2)C(=C1)C3=CC=C(C=C3)CN4C=C(C=N4)CO,166351923
C1C(C(=NOCC2=CC=CC=C2)C3=CC=CC=C31)C4=C(N(N=C4)CCO)C5=CC=NC=C5,87805089
C1C(C(=NOCC2=CC=CC=C2)C3=CC=CC=C31)C4=CN(N=C4C5=CC=NC=C5)CCO,87803079
C1C(C2=CC=CC=C2C1=NO)C3=CN(N=C3C4=CC=NC=C4)CCO,60146017
C1C2=C(C=N1)C(=CC(=C2)C(F)(F)F)C3=CN(N=C3)CC4=CC=CC=N4,149515189
C1C2=C(CN1CCC3=C4C=CC=CN4N=C3)C=C(C=C2)CC=CO,141211617
C1C2=CC=CC=C2C3=NN(C(=C31)C4=CN=CC=C4)CCO,331056
C1CC(=N)C2=C1C=C(C=C2)C3=C(N(N=C3)CCO)C4=CC=NC=C4,89168275
C1CC(=N)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCO,77520714
C1CC(=N)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCO.O,77520713
C1CC(=NO)C2=C1C=C(C=C2)C3=C(N(N=C3)CCO)C4=CC=NC=C4,135438492
C1CC(=NO)C2=C1C=C(C=C2)C3=C(NN=C3)C4=CC=NC=C4,135466457
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)C(CO)CO,44587191
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)C5=CC=C(C=C5)CN,11710968
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CC(=O)O,11667411
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CC(CO)O,11566757
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCCCN,11660513
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCCN,11660270
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCCO,44587190
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCN,11667128
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCNCCO,11625037
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCO,11717001
C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCOS(=O)(=O)N,121382920
C1CC(=NOCC2=CC=CC=C2)C3=C1C=C(C=C3)C4=C(N(N=C4)CCO)C5=CC=NC=C5,86607276
C1CC(=NOCC2=CC=CC=C2)C3=C1C=C(C=C3)C4=CN(N=C4C5=CC=NC=C5)CCO,86607279
C1CC(=O)C2=C1C=C(C=C2)C3=C(N(N=C3)CCO)C4=CC=NC=C4,91036386
C1CC(=O)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CC(CO)O,91346376
C1CC(=O)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCNCCO,91521263
C1CC(=O)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCO,11537022
C1CC(C(C(C1)O)O)N2C=C(C(=N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,11697074
C1CC(C(C1)O)N2C=C(C(=N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,11545261
C1CC(C(C1)O)N2C=C(C(=N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(CC5)N,11703234
C1CC(C(C1)O)N2C=C(C(=N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(CC5)N=O,91896023
C1CC(C2=C(C1)N(N=C2C3=CN=CC=C3)CCO)CC#N,82592020
C1CC(C2=C(C1)N(N=C2C3=CN=CC=C3)CCO)N,82592185
C1CC(CC(C1)O)N2C=C(C(=N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,11531192
C1CC(CC(C1)O)N2C=C(C(=N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(CC5)N=O,91896025
C1CC(CN(C1)CC2=CC=CC=C2CN3C=CC=N3)C4=NN(C=C4)CCO,119069801
C1CC(CN(C1)CC2=CN(N=C2C3=CN=CC=C3)CC4=CC=CC=C4)O,109925995
C1CC(CNC1)CN2C=C(C(=N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,44587234
C1CC(CNC1)CN2C=C(C(=N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(CC5)N=O,91896039
C1CC(OC1)CN2C=CC(=N2)C3=CC=CC(=C3)C4=CN=CC=C4,30921549
C1CC(OC1)N2C=C(C(=N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,87624369
C1CC1C2=C(C(=NN2CCO)C3=CC=C(C=C3)F)C4=CC=CC=N4,70278833
C1CC1C2=C(C(=NN2CCO)C3=CC=C(C=C3)F)C4=CC=NC=C4,22037601
