"col_N","col_bot","col_total_fix","col_fixtime"
100,0.25,1004,48.0886454183267
100,0.5,1013,97.0651530108588
100,1,1054,194.282732447818
300,0.25,342,145.27485380117
300,0.5,329,293.428571428571
300,1,299,576.277591973244
1000,0.25,111,513.855855855856
1000,0.5,99,914.121212121212
1000,1,91,2023.63736263736
3000,0.25,24,1754.83333333333
3000,0.5,36,2817.94444444444
3000,1,31,5319.74193548387
